name,price
Mori Performance Fabric 3 Seater Sofa,"$1,899"
Adams 2 Seater Sofa,$999
Jonathan Extended Sofa,"$2,089"
Mori Performance Fabric Left Chaise Sofa,"$1,499"
Mori Performance Fabric Ottoman,$499
Auburn Performance Fabric Chaise Sectional Sofa,"$2,699"
Jonathan Leather Side Chaise Sofa,"$2,629"
Sierra Outdoor Armless Sofa,$599
Pebble 3 Seater Sofa,"$1,199"
Dawson 3 Seater Sofa with OttomanSale,"$2,179"
Jonathan Leather Extended Side Chaise Sectional with OttomanSale,"$5,269"
Mori Performance Fabric L-Shape Sectional Sofa,"$4,699"
Mori Performance Fabric Side Ottoman,$669
Jonathan Left Chaise,$879
Jonathan Leather Side Chaise Sectional with OttomanSale,"$4,289"
Elias Angled ChaiseClearance,$699
Jonathan Side Chaise Sofa,"$1,599"
Adams Chaise Sectional SofaSale,"$1,529"
Todd Right ChaiseClearance,$669
Jonathan Right Arm Sofa,$799
Sorrento Outdoor Armless Sofa,$499
Todd Armless SofaClearance,$489
Madison Leather 3 Seater SofaSale,"$1,899"
Auburn Performance Fabric Left Arm Sofa,$869
Isaac Terminal Chaise Sectional Sofa,"$2,399"
Jonathan Leather Right Chaise Sofa,"$1,499"
Jonathan Armless Sofa,$569
Jonathan Leather Left Chaise Sofa,"$1,499"
Todd Corner SofaClearance,$719
Tana SofaClearance,$899
Todd Left ChaiseClearance,$669
Auburn Performance Fabric Sectional Sofa,"$2,599"
Dawson Right Arm Sofa,$899
Adams Chaise Sectional Sofa with OttomanSale,"$1,769"
Jonathan Side Chaise Sectional Sofa,"$2,399"
Dawson Extended Sofa,"$2,469"
Auburn Performance Fabric Ottoman,$399
Madison Leather 3 Seater Sofa with OttomanSale,"$2,369"
Jonathan Side Chaise Sofa with OttomanSale,"$1,919"
Kit Bouclé Stool,$189
Madison Chaise Sectional Sofa with OttomanSale,"$2,039"
Mori Performance Fabric Right Chaise Sofa,"$1,499"
Madison Chaise Sectional Sofa,"$1,799"
Todd Side Chaise SofaClearance,"$1,259"
Owen Ottoman,$469
Jonathan Leather Right Arm Sofa,"$1,169"
Todd Extended Sofa with OttomanClearance,"$1,969"
Adams Ottoman,$369
Jonathan Leather Sofa,"$2,299"
Dawson Extended Sofa with OttomanSale,"$2,919"
"Auburn Build-Your-Own Living Room Set, 3-4 SeaterSale","$2,509"
Auburn Performance Fabric Sectional Sofa with OttomanSale,"$2,909"
Odette Performance Bouclé Sofa,"$1,499"
Jonathan Leather Side Chaise Sofa with OttomanSale,"$3,119"
Isaac Leather Reversible Sectional Sofa,"$2,399"
Dawson Chaise Sectional Sofa,"$3,299"
Madison Leather Armchair with OttomanSale,"$1,729"
Isaac Leather 3 Seater Sofa,"$1,799"
Jonathan Leather Armless 3 Seater Sofa with OttomanSale,"$2,569"
Isaac Leather 3 Seater Sofa with OttomanSale,"$2,229"
Todd Side Chaise Sofa with OttomanClearance,"$1,439"
Jonathan Leather Sofa with OttomanSale,"$2,799"
Jonathan Extended Side Chaise Sectional Sofa,"$2,949"
Owen Chaise Sectional Sofa,"$1,999"
Jonathan Leather Left Arm Sofa,"$1,169"
Madison Armchair with OttomanSale,$949
Auburn Performance Fabric Curve 3 Seater Sofa with OttomanSale,"$2,819"
Jonathan L-Shape Sectional Sofa,"$3,429"
Auburn Performance Fabric Armless Curve 3 Seater Sofa with OttomanSale,"$2,739"
Jonathan Sofa with OttomanSale,"$1,889"
Elias Corner SofaClearance,$699
Todd OttomanClearance,$259
"Isaac Leather Terminal Chaise Sectional Sofa with Ottoman, CognacSale","$3,749"
Dawson 3 Seater Sofa,"$1,699"
Jonathan Leather Extended Sofa with OttomanSale,"$3,749"
Todd Side Chaise Extended SofaClearance,"$1,739"
Isaac Reversible Sectional Sofa,"$1,599"
Elias Side ChaiseClearance,$659
Madison Leather Ottoman,$599
Dawson Left Arm Sofa,$899
Ethan 3 Seater SofaClearance,"$1,029"
Wayne Ottoman,$339
Jonathan Right Chaise,$879
Alfie Left Corner SofaClearance,$599
Jonathan Left Arm Sofa,$799
Isaac Terminal Chaise Sectional Sofa with OttomanSale,"$2,639"
Mori Performance Fabric Single Arm 2 Seater Sofa,"$1,769"
Jonathan Extended Sofa with OttomanSale,"$2,379"
Marlow Performance Bouclé Armless 2 Seater Sofa,"$1,399"
