name,selling_price,original_price,warranty,width,depth,height,color,material
Weldon Study Desk,S$99.90,S$330.90,Warranty:3-Year,120,60,74.50,Black,"Particle Board, Steel"
Parson Study Desk (Oak/Grey),S$192.90,S$346.90,Warranty:1-Year,123.50,53.50,80.50,Oak/Grey,"MDF Wood, Veneer"
Karyan 1.2M L-Shape Dual Study Desk (Grey),S$419.00,S$754.00,Warranty:3-Year,120,45,195,Grey,Melamine
Celesta Study Desk,S$259.00,S$389.00,Warranty:3-Year,110,55,76,Drawer(s) Storage,3-Year
Chidi Study Table,S$325.90,S$586.90,Warranty:10-Year,120,60.20,80.70,"Mango Wood, Metal",10-Year
Panos 1.2M Study Desk (White/Oak),S$159.00,S$286.00,Warranty:3-Year,120,60,75,White/Oak,"Particle Board, Plastic, Metal"
Bestien 1.2M Long Study Table Set of 2 (Beech),S$419.00,S$754.00,Warranty:3-Year,240,56,76,Beech,"MDF Wood, Melamine"
Jovi 1.2M Study Desk (Beech),S$249.90,S$449.82,Warranty:3-Year,120,50,75,Drawer(s) Storage,MDF Wood
Ballet II study desk set,S$220.41,S$508.90,Warranty:3-Year,120,48,97.50,Wood,Solid Wood
Eithna 1.6M 5 Doors Cabinet With Study Desk Set (Cream/Dusty Pink),S$909.00,"S$1,619.00",Warranty:3-Year,160,33,200,160cm,"Glass, Melamine"
Clarke Study Desk I,S$249.00,S$379.00,Warranty:3-Year,121,48.50,78.50,Drawer(s) Storage,"Laminate, MDF Wood"
Caesar Study Desk (Walnut),S$329.90,S$593.82,Warranty:3-Year,120,60,76,Walnut,MDF Wood
Eithna 1.2M Study Desk With 3 Drawers (Cream),S$239.00,S$429.00,Warranty:3-Year,120,38,75,Cream,Melamine
Aglaia Study Desk,S$139.00,S$249.00,Warranty:3-Year,120,60,75.50,"Drawer(s) Storage, Cable Management",MDF Wood
Ollson Study Desk (White/Light Wood),S$134.90,S$242.90,Warranty:3-Year,98,45,90,"Particle Board, Steel",11.00
Briggs Electric Height Adjustable Table (White),S$264.90,S$476.90,Warranty:5-Year,120,60,73 - 123,"Particle Board, Steel",38.00
Rommey Computer Table II,S$249.00,S$379.00,Warranty:3-Year,"Shelf Storage, Keyboard Tray","MDF Wood, Steel",None,3-Year,Free Assembly Included
Astor Desk,S$220.90,S$397.90,Warranty:3-Year,110,50,70.50,Drawer(s) Storage,"Foil, MDF Wood, Steel"
Tardos 1.2M Floating Study Desk (Khaki/Acrylic),S$639.00,"S$1,149.00",Warranty:3-Year,120,55,75,Khaki,"Acrylic, MDF Wood, Melamine"
Giolio Programmable Electric Adjustable Table (Mahogany/Black),S$305.90,S$550.90,Warranty:5-Year,120.20,60.20,72 - 121,"Particle Board, Steel",39.00
Eithna 1.2M Study Desk With 6 Drawers (Cream),S$379.00,S$679.00,Warranty:3-Year,120,38,75,Cream,120cm
Eithna 1.2M Study Desk (Cream),S$209.00,S$376.00,Warranty:3-Year,120,55,76,Cream,120cm
Maynard Rattan Study Desk (Cherry Wood),S$559.00,S$999.00,Warranty:10-Year,"100,120",50,75,"Rattan, Solid Wood",Cadence
Ercole Straight table L120 (Ash + Dark Grey),S$202.90,S$364.90,Warranty:1-Year,120,60,Dark Grey,"MDF Wood, Melamine",Cable Management
Kriem Study Desk,S$329.00,S$499.00,Warranty:3-Year,120,60,160,Shelf Storage,3-Year
Karyan 1.2M Study Desk (Grey),S$289.00,S$520.00,Warranty:3-Year,120,45,195,Grey,Melamine
Ellder Study Desk (Off-White/Walnut),S$429.00,S$772.00,Warranty:3-Year,120,58,193,Off-White,Melamine
Aurlon Dual Study Desk (Grey/White/Yellow),S$449.00,S$808.00,Warranty:3-Year,240,55,76,"Extendable Tabletop, Shelf Storage, Drawer(s) Storage","MDF Wood, Melamine"
Selby Study Desk in White Legs,S$229.00,S$257.00,Warranty:3-Year,120,80,77,White,"MDF Wood, Melamine, Metal"
Franta Study Desk & Storage,S$729.00,"S$1,099.00",Warranty:3-Year,"Extendable Tabletop, Cabinet Storage, Drawer(s) Storage","Engineered Wood, Sintered Stone",None,3-Year,Free Assembly Included
Giolio Programmable Electric Adjustable Table (Maple Wood/White),S$356.90,S$641.90,Warranty:5-Year,120.20,60.20,72 - 121,Maple,"Particle Board, Steel"
Hail Programmable Electric Adjustable Table (Black),S$284.90,S$512.90,Warranty:5-Year,120,60,73 - 123,Black,"Particle Board, Steel"
Griffith Study Desk (Natural),S$109.90,S$197.90,Warranty:1-Year,80,50.50,75,Natural,"Rubber wood, Solid Wood"
Ollson Study Desk with Shelf (White/ Light Wood),S$132.00,S$237.60,Warranty:3-Year,112,50,112.50,"Particle Board, Steel",13.50
Selik Mobile Desk,S$209.90,S$364.90,Warranty:3-Year,110,55,75,Steel,24.00
Bestien Study Table (Beech),S$289.00,S$520.00,Warranty:3-Year,120,56,76,Beech,Melamine
Claire Study Desk II,S$299.00,S$449.00,Warranty:3-Year,122,40,78.50,Drawer(s) Storage,"Laminate, MDF Wood"
Ryan Study Desk,S$111.90,S$200.90,Warranty:1-Year,104.30,48,89,Grey,MDF Wood
Aurlon Dual Study Desk with Aphria Chair Set (Grey/White/Yellow),S$679.00,"S$1,222.00",Warranty:3-Year,Yellow,"Shelf Storage, Drawer(s) Storage",None,3-Year,Free Assembly Included
Elie 1.2M Study Desk with Aphria Chair Set,S$459.00,S$826.00,Warranty:3-Year,"Cabinet Storage, Shelf Storage",None,None,3-Year,Free Assembly Included
Diedre Study Desk,S$259.00,S$389.00,Warranty:3-Year,Drawer(s) Storage,None,None,3-Year,None
Abdiel L-Shape Study Desk with Aphria Chair Set (Natural/White),S$649.00,"S$1,168.00",Warranty:3-Year,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, Cable Management",Cadence,None,3-Year,Free Assembly Included
Frazier Study Set with Storage on the Right (Natural),S$639.00,"S$1,139.00",Warranty:3-Year,Natural,"Extendable Tabletop, Drawer(s) Storage",None,Cadence,3-Year
Bestien 1.2M Corner Desk with Low Cabinet (Beech),S$429.00,S$772.00,Warranty:3-Year,120,100,104,Natural,Melamine
Imelda Adjustable Children's Study Desk (Pink),S$482.90,S$868.90,Warranty:2-Year,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",Pink,100 - 124.5,120 (133.5 with Handle),60
Elie 1.4M Study Desk with Aphria Chair Set,S$489.00,S$880.00,Warranty:3-Year,"Cabinet Storage, Shelf Storage, With Top Shelf",None,None,3-Year,Free Assembly Included
Imelda IV Adjustable Children's Study Desk and Chair (Pink),None,None,Warranty:2-Year,Pink,"Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",None,2-Year,Free Assembly Included
Kenaz 1.2M Study Desk (Black),S$179.00,S$319.00,Warranty:3-Year,120,60,75,120cm,Melamine
Ryszard Study Desk (Antique),S$79.90,S$129.90,Warranty:1-Year,120,60,75,Antique,MDF Wood
Daviel 1.2M Study Desk with Ealdun Chair Set (Walnut/Tawny),S$328.57,S$591.00,Warranty:3-Year,Drawer(s) Storage,Qoltured,None,3-Year,Free Assembly Included
Revetir Study Desk Light Ash,S$66.90,S$119.90,Warranty:1-Year,90,64,85,Beech,"Particle Board, Metal"
Ercole Straight table L150 (Ash + Dark Grey),S$281.90,S$506.90,Warranty:1-Year,75.50,150,75,"MDF Wood, Melamine",Cable Management
Marvelle 1.2M Study Desk (Natural),S$69.90,S$129.90,Warranty:1-Year,120,40,97,Foldable,Engineered Wood
Eithna 2.4M Dual Study Desk With 3 Drawers Set (Cream),S$329.00,S$579.00,Warranty:3-Year,240,38,75,Cream,Melamine
Hazell Dual Study Desk (Natural/White),S$729.00,"S$1,312.00",Warranty:10-Year,200 - 220,56,76,Natural,"Oak Wood, Rubber wood"
Merlyn Study Desk,S$229.00,S$349.00,Warranty:1-Year,120,51.50,76,White/ Walnut,MDF Wood
Freyne 1.2M Extendable Study Desk with Devnet Chair Set (Grey/Taupe),S$489.00,S$880.00,Warranty:3-Year,"Extendable Tabletop, Drawer(s) Storage",None,None,3-Year,Free Assembly Included
Fuasto Straight table L150 (Ash + Dark Grey),S$405.90,S$730.90,Warranty:1-Year,150,75,"Work Desk, Office Table","MDF Wood, Melamine, Metal",Cable Management
Devyn 1.4M Study Desk with Guivret Chair Set (White/Grey),S$409.00,S$736.00,Warranty:3-Year,White,"Drawer(s) Storage, Cable Management",None,3-Year,Free Assembly Included
Abdiel L-Shape Study Desk (Natural/White),S$529.00,S$952.00,Warranty:3-Year,120,120,194,Melamine,Cadence
Dejen Study Table,S$189.00,S$289.00,Warranty:3-Year,100,55,76,Cable Management,"MDF Wood, Metal"
Hedy Study Desk (Walnut),S$136.90,S$474.90,Warranty:3-Year,83,58,150,Walnut,Particle Board
Merkier Desk,S$145.90,S$262.90,Warranty:1-Year,104,51,128,"Shelf Storage, Drawer(s) Storage",1-Year
Dorian Study Table,S$131.90,S$236.90,Warranty:1-Year,84.10,45,153.50,Brown,"Laminate, MDF Wood, Metal"
Lyubov 1M Study Table with Chair Set,S$599.00,"S$1,079.00",Warranty:3-Year,Drawer(s) Storage,Cadence,None,3-Year,Free Assembly Included
Marvelle 1.0M Study Desk (White),S$59.90,S$106.90,Warranty:1-Year,100,40,97,White,Engineered Wood
Scissors study desk,S$208.90,S$375.90,Warranty:3-Year,93.50,50,95.50,Wood,Solid Wood
Imelda IV.1 Adjustable Children's Study Desk (Blue),None,None,Warranty:2-Year,"Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",73 - 93.5,70,60,2-Year
Duvessa Extendable Study Desk with Storage on the Right,S$449.00,S$809.00,Warranty:3-Year,140 - 170,55,76,"Extendable Tabletop, Cabinet Storage, Drawer(s) Storage",Melamine
Davian II 1.4M Study Desk (Natural/White),S$279.00,S$509.00,Warranty:1-Year,140,50,150,"Shelf Storage, Drawer(s) Storage",Natural
Griffith Study Desk (Walnut),S$109.90,S$197.90,Warranty:1-Year,80,50.50,75,Walnut,"Rubber wood, Solid Wood"
Paulie Study Table with Storage,S$349.00,S$529.00,Warranty:3-Year,140 - 180cm,60 - 110cm,75 - 185cm,Extendable Tabletop,3-Year
Frea Study Desk I,S$179.00,S$269.00,Warranty:3-Year,81.50,40,78.50,Drawer(s) Storage,"Laminate, MDF Wood, Melamine"
Ammiel Study Desk II,S$449.00,S$679.00,Warranty:3-Year,90,55,172,"Cabinet Storage, Shelf Storage, Drawer(s) Storage","Laminate, MDF Wood, Solid Wood"
Bestien 1.2M Long Study Desk with Tall Cabinet (Beech),S$579.00,"S$1,042.00",Warranty:3-Year,120,100,167,Beech,"Melamine, Solid Wood"
Stige Modular Desk,S$337.90,S$607.90,Warranty:3-Year,90,67.50,150,With Top Shelf,3-Year
Levente 2.4M Dual Study Table with Storage Cabinet Set (Greige),S$269.00,S$484.00,Warranty:3-Year,240,39,75,Greige,Melamine
Suvi Swing Desk,S$353.90,S$636.90,Warranty:3-Year,120,100,73.50,"Extendable Tabletop, Shelf Storage",Cadence
Darina II Study Table (1.2m),S$429.00,S$649.00,Warranty:3-Year,120,60,75,120cm x 60cm,"Sintered Stone, Metal"
Darryn 1.0M Study Desk (Black),S$139.00,S$250.00,Warranty:3-Year,100,60,89,Black,Particle Board
Merlyn II Study Desk,S$289.00,S$439.00,Warranty:1-Year,120,60,108,Walnut White,MDF Wood
Detor Desk,S$69.00,S$236.90,Warranty:1-Year,120,48,76,Brown,27.80
Frazier Study Desk with Storage on the Left (Natural),S$439.00,S$799.00,Warranty:3-Year,117 - 144,56,76,Natural,"Melamine, Oak Wood"
Eduard Study Desk (Walnut),S$65.90,S$118.90,Warranty:1-Year,115,56,74,"Particle Board, Polypropylene",25.00
Travail Desk Light Ash,S$179.90,S$243.90,Warranty:1-Year,120,60,76,Ash,Particle Board
Seabert Table,S$79.90,S$143.90,Warranty:1-Year,65,50,68,Foldable,PET
Travail Desk Brown,S$140.90,S$253.90,Warranty:1-Year,120,60,76,Brown,Particle Board
Bhruic Study Desk (White Sintered),S$449.00,S$809.00,Warranty:10-Year,80,61.50,77.30,Drawer(s) Storage,"Oak Wood, Sintered Stone, Solid Wood"
Devyn 1.0M Study Desk (White),S$189.00,S$340.00,Warranty:3-Year,100,50,75,White,MDF Wood
Imelda VII Adjustable Children's Study Desk (Blue),S$533.90,S$960.90,Warranty:2-Year,"Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",Blue,101.5 - 126,60,MDF Wood
Corinna II Tall Study Desk,S$479.00,S$719.00,Warranty:3-Year,100,55,175,"Cabinet Storage, Shelf Storage, Drawer(s) Storage",MDF Wood
Davian II 1M Study Desk (Natural/White),S$199.00,S$359.00,Warranty:3-Year,100,50,150,Natural,Particle Board
Vilma Study Desk with Storage (Walnut),S$309.00,S$556.00,Warranty:3-Year,120,60,196,Walnut,Melamine
Tancred Study Desk,S$129.90,S$239.90,Warranty:3-Year,140,50,76,"MDF Wood, Steel",19.90
Bestien 1.0M Study Table with Tall Cabinet (Beech),S$529.00,S$952.00,Warranty:3-Year,100,100,167,Beech,"Melamine, Solid Wood"
Anntoin 1.45M Study Desk (Grey),S$279.00,S$499.00,Warranty:3-Year,144,56,119,Grey,Melamine
Ollson Study Desk (Black/Light Wood),S$134.90,S$242.90,Warranty:3-Year,98,45,90,"Particle Board, Steel",11.00
Nyahi Study Desk,S$319.00,S$479.00,Warranty:10-Year,110,60,79,MDF Wood,23.00
"Livik Station™ Electric Adjustable Table, 1.4M",None,None,Warranty:1-Year,140,70,60-125,140cm,30.00
Eduard Study Desk (Grey),S$69.90,S$118.90,Warranty:1-Year,115,56,74,"Particle Board, Polypropylene",25.00
Tiril Study Desk,S$249.00,S$379.00,Warranty:3-Year,120,60,82,"Shelf Storage, Drawer(s) Storage",MDF Wood
Kamden L-Shape Study Desk (Left/Walnut),S$249.00,S$448.00,Warranty:3-Year,140,100,75,140cm,"Particle Board, Steel"
Aglea Study Desk with Storage (White/Blue),S$399.00,S$799.00,Warranty:3-Year,120,57 (including handle),None,"MDF Wood, Melamine",3-Year
Kay Study Desk,S$339.00,S$509.00,Warranty:10-Year,100,50,141,"Cabinet Storage, Locking Drawer/Cabinet, With Top Shelf",10-Year
Evie Study Desk,S$319.00,S$479.00,Warranty:3-Year,120,60,77,Drawer(s) Storage,"Laminate, MDF Wood, Metal"
Hess PRO Programmable Electric Adjustable Table (Mahogany/Black),S$437.90,S$787.90,Warranty:5-Year,140,70,58 - 123,Mahogany,"Particle Board, Steel"
Imelda VII Adjustable Children's Study Desk (Pink),S$533.90,S$960.90,Warranty:2-Year,"Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",Pink,101.5 - 126,60,MDF Wood
Caesar Study Desk (Oak),S$329.90,S$593.82,Warranty:3-Year,120,60,76,Oak,MDF Wood
Bestille Desk Brown,S$55.90,S$103.90,Warranty:1-Year,90,50,114,Brown,"Particle Board, Steel"
Hess PRO Programmable Electric Adjustable Table (Natural/ White),S$468.90,S$843.90,Warranty:5-Year,140,70,58 - 123,Natural,"Particle Board, Steel"
Desta Study Table,S$179.00,S$269.00,Warranty:3-Year,100,50,76,"Drawer(s) Storage, Cable Management","MDF Wood, Metal"
Briggs Electric Height Adjustable Table (Black),S$244.90,S$440.90,Warranty:5-Year,120,60,73 - 123,Black,"Particle Board, Steel"
Hedy Study Desk (Natural),S$199.00,S$474.90,Warranty:3-Year,83,58,150,Natural,Particle Board
Erik Desk,S$99.00,S$308.90,Warranty:1-Year,120,60,76.50,Brown,MDF Wood
Langdon Study Desk,S$299.00,S$449.00,Warranty:3-Year,"Cabinet Storage, Locking Drawer/Cabinet",None,None,3-Year,Free Assembly Included
